;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
241;1;5;0.0001;1000;53.66468576809629;53.44770812188081
242;1;5;0.0001;1000;53.538861793927005;53.554842630228826
243;1;5;0.0001;1000;53.33678876352349;53.292116384775426
244;1;5;0.0001;1000;53.50122623115318;53.19824073411038
245;1;5;0.0001;1000;53.957201495671605;53.560594586331526
246;1;5;0.0001;1000;54.26545655610256;53.95714877689324
247;1;5;0.0001;1000;54.16687237829659;53.88696162910102
248;1;5;0.0001;1000;54.133301816078784;53.809691721194056
249;1;5;0.0001;1000;53.995316664871666;53.6479705653576
250;1;5;0.0001;2000;53.90004699938476;53.627711238656545
251;1;5;0.0001;2000;53.99641573469031;53.71436569203385
252;1;5;0.0001;2000;54.113593966261355;53.80131532348193
253;1;5;0.0001;2000;54.14012856817207;53.86497293465708
254;1;5;0.0001;2000;54.17244885303977;53.91294723504891
255;1;5;0.0001;2000;54.209867368467606;53.927392463182194
256;1;5;0.0001;2000;54.171457244570156;53.88408418358739
257;1;5;0.0001;2000;54.1818334533923;53.85338652689806
258;1;5;0.0001;2000;54.1957752755874;53.85427878073775
259;1;5;0.0001;2000;54.16829850669725;53.817169490823574
260;1;5;0.0001;5000;54.23935872835029;53.88515923837243
261;1;5;0.0001;5000;54.30020394717997;53.94467188183517
262;1;5;0.0001;5000;54.355154445748546;53.996589430807305
263;1;5;0.0001;5000;54.40703393490747;54.04744694454505
264;1;5;0.0001;5000;54.45475230807105;54.09150961778105
265;1;5;0.0001;5000;54.49285439865211;54.129424505002405
266;1;5;0.0001;5000;54.52945497047081;54.16615268429467
267;1;5;0.0001;5000;54.570070812852585;54.205237719596255
268;1;5;0.0001;5000;54.60369235074354;54.238086518973354
269;1;5;0.0001;5000;54.62755746836878;54.260438420745665
270;1;5;0.005;1000;55.729386303928926;55.28112685349622
271;1;5;0.005;1000;55.71177446413155;55.28071320460014
272;1;5;0.005;1000;55.78084511641214;55.37114634155208
273;1;5;0.005;1000;55.7724565037838;55.35968916432452
274;1;5;0.005;1000;55.77189858267209;55.36068456092626
275;1;5;0.005;1000;55.76219439952445;55.35056805586232
276;1;5;0.005;1000;55.75823429414153;55.34113929969086
277;1;5;0.005;1000;55.75278398945798;55.33714939029696
278;1;5;0.005;1000;55.75367243385723;55.335610305432475
279;1;5;0.005;1000;55.750868224060966;55.33629840358138
280;1;5;0.005;2000;55.875015209000566;55.46069597457374
281;1;5;0.005;2000;55.86481811198837;55.450468523330784
282;1;5;0.005;2000;55.92913395839882;55.50942693526435
283;1;5;0.005;2000;55.96023402891433;55.532218833448404
284;1;5;0.005;2000;56.04100155364937;55.61665717767129
285;1;5;0.005;2000;56.02124705130892;55.59566402582382
286;1;5;0.005;2000;56.14985631297734;55.73008967978767
287;1;5;0.005;2000;56.124772051738134;55.705599627549645
288;1;5;0.005;2000;56.6771224298994;56.28281715287147
289;1;5;0.005;2000;56.6544194880798;56.25649397321938
290;1;5;0.005;5000;57.508895849050035;57.17256511290322
291;1;5;0.005;5000;58.34489931944815;58.053657963719935
292;1;5;0.005;5000;59.11122602141907;58.8573513427918
293;1;5;0.005;5000;59.841424181835656;59.61549468557106
294;1;5;0.005;5000;60.413840847617024;60.233734198742326
295;1;5;0.005;5000;61.02360092882949;60.87202453980103
296;1;5;0.005;5000;61.64070966856392;61.501240140368786
297;1;5;0.005;5000;62.16686281824684;62.05125763697713
298;1;5;0.005;5000;62.570117161468005;62.48130245852222
299;1;5;0.005;5000;63.0002420286229;62.94037821146824
300;1;5;0.05;1000;79.79244951775371;79.86793823837192
